,DistrictCode,SchoolCode,SchoolName,Program,StudentGroup,TotalStudents,CSE-All,CSE-CourseCode
0,1109,3075,Washtucna Elementary/High School,AllStudents,All Students,23,5,5
8,1147,3015,Othello High School,AllStudents,All Students,1253,64,64
23,1158,2903,Lind-Ritzville High School,AllStudents,All Students,54,17,17
36,1160,2132,Ritzville High School,AllStudents,All Students,105,23,23
48,2250,1617,Educational Opportunity Center,AllStudents,All Students,126,0,0
62,2250,2299,Charles Francis Adams High School,AllStudents,All Students,856,24,24
80,2420,2434,Asotin Jr Sr High,AllStudents,All Students,199,14,0
95,3017,1884,Legacy High School,AllStudents,All Students,301,1,0
111,3017,2826,Kennewick High School,AllStudents,All Students,1785,221,178
129,3017,3731,Kamiakin High School,AllStudents,All Students,1960,199,150
147,3017,4007,Benton/Franklin Juvenile Justice Center,AllStudents,All Students,111,0,0
161,3017,4118,Tri-Tech Skills Center,AllStudents,All Students,27,3,1
171,3017,4484,Southridge High School,AllStudents,All Students,1873,129,84
190,3052,2904,Kiona-Benton City High School,AllStudents,All Students,425,0,0
206,3053,2367,River View High School,AllStudents,All Students,334,22,0
221,3116,2508,Prosser High School,AllStudents,All Students,916,34,34
237,3400,3511,Richland High School,AllStudents,All Students,2214,77,77
256,3400,3833,Hanford High School,AllStudents,All Students,2084,117,117
275,3400,4295,Rivers Edge High School,AllStudents,All Students,373,0,0
291,4019,2623,Manson High School,AllStudents,All Students,232,55,43
306,4127,3317,Entiat Middle and High School,AllStudents,All Students,89,0,0
321,4129,4260,Chelan High School,AllStudents,All Students,452,0,0
336,4222,3268,CASHMERE HIGH SCHOOL,AllStudents,All Students,503,125,3
352,4228,3564,Cascade High School,AllStudents,All Students,434,28,25
368,4246,1613,Westside High School,AllStudents,All Students,338,0,0
383,4246,1802,Chelan County Juvenile Detention Center,AllStudents,All Students,37,0,0
393,4246,2134,Wenatchee High School,AllStudents,All Students,2109,121,121
410,5121,2908,Port Angeles High School,AllStudents,All Students,975,66,66
429,18801,3143,Clallam Co Juvenile Detention,AllStudents,All Students,26,0,0
436,5121,4003,Lincoln High School,AllStudents,All Students,88,0,0
446,5313,3473,Crescent School,AllStudents,All Students,79,8,8
458,5323,1708,Olympic Peninsula Academy,AllStudents,All Students,11,0,0
462,5323,2471,Sequim Senior High,AllStudents,All Students,886,100,100
479,5401,3145,Neah Bay Junior/ Senior High School,AllStudents,All Students,112,0,0
494,5401,3422,Clallam Bay High & Elementary,AllStudents,All Students,37,1,1
504,5402,2349,Forks High School,AllStudents,All Students,316,0,0
521,6037,1574,Jim Tangeman Center,AllStudents,All Students,19,0,0
527,6037,1689,Vancouver School of Arts and Academics,AllStudents,All Students,323,0,0
542,6037,1738,Gate Work Study Program,AllStudents,All Students,39,0,0
551,6037,2179,Fort Vancouver High School,AllStudents,All Students,1725,32,32
570,6037,3081,Hudson's Bay High School,AllStudents,All Students,1256,32,32
589,6037,3423,Columbia River High,AllStudents,All Students,1206,56,56
607,34974,3799,Washington State School for the Blind,AllStudents,All Students,39,8,8
618,6037,3932,Lewis and Clark High School,AllStudents,All Students,81,0,0
633,34975,4246,Washington State School for the Deaf,AllStudents,All Students,42,0,0
644,6037,4504,Skyview High School,AllStudents,All Students,1885,86,86
663,6098,4568,Hockinson High School,AllStudents,All Students,690,18,0
680,6101,4431,La Center High School,AllStudents,All Students,544,0,0
696,6112,3147,Washougal High School,AllStudents,All Students,1078,34,9
714,6114,1646,Hollingsworth Academy,AllStudents,All Students,90,0,0
724,6114,2724,Evergreen High School,AllStudents,All Students,1645,101,101
744,6114,4042,Legacy High School,AllStudents,All Students,237,0,0
759,6114,4162,Mountain View High School,AllStudents,All Students,1713,93,93
778,6114,4203,Cascadia Technical Academy Skills Center,AllStudents,All Students,427,18,18
790,6114,4523,Heritage High School,AllStudents,All Students,1775,223,222
810,6117,4567,Camas High School,AllStudents,All Students,2259,127,93
829,6119,1836,CAM Academy,AllStudents,All Students,212,10,10
842,6119,1875,Homelink River,AllStudents,All Students,569,14,14
858,6119,2415,Battle Ground High School,AllStudents,All Students,1630,138,110
877,6119,4104,Prairie High School,AllStudents,All Students,1558,101,76
897,6119,4450,Summit View High School,AllStudents,All Students,505,0,0
913,6122,2390,Ridgefield High School,AllStudents,All Students,1037,33,33
930,7002,2302,Dayton High School,AllStudents,All Students,134,0,0
944,8122,2416,R A Long High School,AllStudents,All Students,958,21,0
964,8122,3151,Mark Morris High School,AllStudents,All Students,917,0,0
982,8130,2560,Toutle Lake High School,AllStudents,All Students,215,48,48
996,8401,2281,Castle Rock High School,AllStudents,All Students,465,0,0
1012,8404,1795,Woodland Alternative School,AllStudents,All Students,217,45,45
1026,8404,3546,Woodland High School,AllStudents,All Students,693,28,28
1042,8458,2266,Kelso High School,AllStudents,All Students,1546,89,89
1061,6801,3294,Cowlitz County Youth Services Center,AllStudents,All Students,68,0,0
1072,9075,2788,Bridgeport High School,AllStudents,All Students,228,52,52
1087,9206,2727,Eastmont Senior High,AllStudents,All Students,1480,60,60
1102,9206,3372,Eastmont Junior High,AllStudents,All Students,543,43,41
1115,4246,4105,Wenatchee Valley Technical Skills Center,AllStudents,All Students,94,8,8
1126,9207,2233,Mansfield Elem and High School,AllStudents,All Students,31,0,0
1135,9209,2162,Waterville High School,AllStudents,All Students,101,6,6
1149,10050,2006,Curlew Elem & High School,AllStudents,All Students,157,0,0
1163,10070,2603,Inchelium High School,AllStudents,All Students,84,0,0
1177,10309,3579,Republic Senior High School,AllStudents,All Students,99,6,6
1189,11001,2917,Pasco Senior High School,AllStudents,All Students,2549,47,47
1208,11001,3912,New Horizons High School,AllStudents,All Students,376,30,0
1222,11051,1754,Palouse Junction High School,AllStudents,All Students,45,0,0
1234,11051,3272,Connell High School,AllStudents,All Students,668,113,0
1250,11056,3214,Kahlotus Elem & High,AllStudents,All Students,14,0,0
1255,12110,2241,Pomeroy Jr Sr High School,AllStudents,All Students,102,13,0
1268,13073,1835,Sentinel Tech Alt School,AllStudents,All Students,40,0,0
1277,13073,4254,Wahluke High School,AllStudents,All Students,752,20,0
1292,13144,3088,Quincy High School,AllStudents,All Students,876,47,47
1307,13146,3273,Warden High School,AllStudents,All Students,290,25,25
1322,13151,2968,Almira Coulee Hartline High School,AllStudents,All Students,96,17,0
1335,13156,1518,RISE Academy,AllStudents,All Students,40,0,0
1347,13156,3089,Soap Lake Middle & High School,AllStudents,All Students,179,21,17
1362,13160,3516,Royal High School,AllStudents,All Students,547,90,90
1377,13161,3215,Moses Lake High School,AllStudents,All Students,2478,139,71
1395,13165,2920,Ephrata High School,AllStudents,All Students,879,22,22
1411,13167,2473,Wilson Creek High,AllStudents,All Students,47,0,0
1423,13301,2801,Lake Roosevelt Jr/Sr High School,AllStudents,All Students,244,9,9
1440,14005,3476,J M Weatherwax High School,AllStudents,All Students,1036,89,89
1459,14005,3857,Harbor Junior/Senior High School,AllStudents,All Students,119,0,0
1471,14005,4267,Grays Harbor Juvenile Detention,AllStudents,All Students,47,0,0
1480,14028,3622,Hoquiam High School,AllStudents,All Students,493,5,5
1497,14064,2728,North Beach Senior High School,AllStudents,All Students,224,0,0
1514,14066,2180,Montesano Jr-Sr High,AllStudents,All Students,472,0,0
1529,14068,1629,East Grays Harbor High School,AllStudents,All Students,25,0,0
1537,14068,2137,Elma High School,AllStudents,All Students,536,0,0
1553,14077,3580,Taholah High School,AllStudents,All Students,73,0,0
1567,14097,2921,Lake Quinault School,AllStudents,All Students,58,0,0
1580,14117,3375,Wishkah Valley Elementary/High School,AllStudents,All Students,54,2,2
1591,14172,3024,Ocosta Junior - Senior High,AllStudents,All Students,205,0,0
1608,14400,2283,Oakville High School,AllStudents,All Students,95,0,0
1624,15201,1758,Homeconnection,AllStudents,All Students,76,0,0
1636,15201,2974,Oak Harbor High School,AllStudents,All Students,1552,261,260
1655,15204,2625,Coupeville High School,AllStudents,All Students,288,0,0
1670,15206,1682,South Whidbey Academy,AllStudents,All Students,59,0,0
1681,15206,4149,South Whidbey High School,AllStudents,All Students,451,0,0
1697,16048,2474,Quilcene High And Elementary,AllStudents,All Students,106,0,0
1711,16049,1724,PI Program,AllStudents,All Students,28,0,0
1720,16049,3275,Chimacum Junior/Senior High School,AllStudents,All Students,225,34,34
1735,16050,1798,OCEAN,AllStudents,All Students,60,2,2
1746,16050,2503,Port Townsend High School,AllStudents,All Students,406,28,7
1761,17001,1547,Middle College High School,AllStudents,All Students,89,1,0
1776,17001,1596,Seattle World School,AllStudents,All Students,304,81,81
1790,17001,1635,Interagency Programs,AllStudents,All Students,475,0,0
1809,17001,1856,The Center School,AllStudents,All Students,278,0,0
1826,17001,2182,Franklin High School,AllStudents,All Students,1278,73,73
1844,17001,2220,Ballard High School,AllStudents,All Students,1771,153,153
1863,17001,2234,West Seattle High School,AllStudents,All Students,1170,0,0
1881,17001,2285,Roosevelt High School,AllStudents,All Students,1734,175,175
1900,17001,2306,Garfield High School,AllStudents,All Students,1778,173,173
1918,17001,2392,Cleveland High School STEM,AllStudents,All Students,927,166,152
1936,17001,3096,Chief Sealth International High School,AllStudents,All Students,1180,53,50
1956,17001,3276,Ingraham High School,AllStudents,All Students,1511,176,176
1975,17001,3327,Rainier Beach High School,AllStudents,All Students,833,1,0
1994,17001,3479,Nathan Hale High School,AllStudents,All Students,1172,78,78
2014,17001,3778,Alan T. Sugiyama High School,AllStudents,All Students,54,0,0
2027,17001,3868,Nova High School,AllStudents,All Students,247,0,0
2044,17210,1759,Internet Academy,AllStudents,All Students,278,0,0
2061,17210,1789,Federal Way Public Academy,AllStudents,All Students,118,63,63
2076,17210,2417,Federal Way High School,AllStudents,All Students,1694,178,178
2095,17210,3584,Thomas Jefferson High School,AllStudents,All Students,1744,116,116
2115,17210,3766,Decatur High School,AllStudents,All Students,1424,54,54
2134,17210,4570,Todd Beamer High School,AllStudents,All Students,1473,164,164
2153,17216,3330,Enumclaw Sr High School,AllStudents,All Students,1388,0,0
2172,17400,3029,Mercer Island High School,AllStudents,All Students,1578,138,138
2190,17401,1539,CHOICE Academy,AllStudents,All Students,110,0,0
2208,17401,2270,Puget Sound Skills Center,AllStudents,All Students,353,36,36
2224,17401,2325,Highline High School,AllStudents,All Students,1142,51,51
2243,17401,3099,Evergreen High School,AllStudents,All Students,1135,71,16
2262,17401,3279,Mount Rainier High School,AllStudents,All Students,1862,25,25
2282,17401,3483,Tyee High School,AllStudents,All Students,912,62,62
2301,17402,2419,Vashon Island High School,AllStudents,All Students,535,21,0
2318,17403,1784,H.O.M.E. Program,AllStudents,All Students,17,0,0
2324,17403,2475,Renton Senior High School,AllStudents,All Students,1266,94,94
2343,17403,3630,Hazen Senior High School,AllStudents,All Students,1864,240,191
2362,17403,3741,Lindbergh Senior High School,AllStudents,All Students,1265,115,115
2381,17404,2513,Skykomish High School,AllStudents,All Students,12,0,0
2383,17405,2701,Bellevue High School,AllStudents,All Students,1576,184,160
2401,17405,3282,Sammamish Senior High,AllStudents,All Students,1302,133,133
2419,17405,3486,Newport Senior High School,AllStudents,All Students,1803,437,366
2437,17405,3588,Interlake Senior High School,AllStudents,All Students,1700,178,178
2455,17406,2848,Foster Senior High School,AllStudents,All Students,914,28,28
2474,17407,1756,CLIP,AllStudents,All Students,60,0,0
2486,17407,1854,PARADE,AllStudents,All Students,43,16,16
2496,17407,3524,Cedarcrest High School,AllStudents,All Students,966,62,62
2513,17408,2702,West Auburn Senior High School,AllStudents,All Students,236,39,39
2532,17408,2795,Auburn Senior High School,AllStudents,All Students,1832,20,20
2552,17408,4474,Auburn Riverside High School,AllStudents,All Students,1876,22,22
2571,17409,2849,Tahoma Senior High School,AllStudents,All Students,2822,221,221
2592,17410,1502,Two Rivers School,AllStudents,All Students,46,0,0
2603,17410,2850,Mount Si High School,AllStudents,All Students,2116,224,204
2621,17411,1624,Issaquah Special Services,AllStudents,All Students,26,0,0
2628,17411,3385,Issaquah High School,AllStudents,All Students,2584,417,330
2646,17411,3569,Echo Glen School,AllStudents,All Students,162,0,0
2662,17411,3962,Liberty Sr High School,AllStudents,All Students,1555,272,222
2680,17411,4495,Skyline High School,AllStudents,All Students,2248,399,301
2698,17412,3343,Shorecrest High School,AllStudents,All Students,1550,76,76
2716,17412,3921,Shorewood High School,AllStudents,All Students,1568,89,88
2736,17414,1688,Emerson K-12,AllStudents,All Students,16,0,0
2742,17414,1706,International Community School,AllStudents,All Students,189,33,33
2754,17414,1804,Futures School,AllStudents,All Students,29,0,0
2763,17414,2739,Lake Washington High School,AllStudents,All Students,1949,272,272
2781,17414,3528,Redmond High School,AllStudents,All Students,2191,496,496
2799,17414,3771,Juanita High School,AllStudents,All Students,1613,157,157
2817,17414,3855,Emerson High School,AllStudents,All Students,47,0,0
2828,17414,4439,Eastlake High School,AllStudents,All Students,2288,435,435
2846,17415,1807,Regional Justice Center,AllStudents,All Students,25,0,0
2853,17415,2797,Kent-Meridian High School,AllStudents,All Students,2209,58,30
2872,17415,3640,Kentridge High School,AllStudents,All Students,2064,99,73
2891,17415,4128,Kentwood High School,AllStudents,All Students,1889,163,112
2910,17415,4492,Kentlake High School,AllStudents,All Students,1587,86,59
2929,17417,1814,Northshore Networks,AllStudents,All Students,129,0,0
2944,17417,1815,Northshore Special Services,AllStudents,All Students,21,0,0
2951,17417,3106,Bothell High School,AllStudents,All Students,1755,192,192
2969,17417,3492,Inglemoor HS,AllStudents,All Students,1636,115,115
2988,17417,3811,Secondary Academy for Success,AllStudents,All Students,117,0,0
3003,17417,4208,Woodinville HS,AllStudents,All Students,1736,326,234
3022,18100,1737,Renaissance Alternative High School,AllStudents,All Students,138,0,0
3037,18100,3109,Bremerton High School,AllStudents,All Students,1296,48,48
3057,18100,4038,West Sound Technical Skills Center,AllStudents,All Students,13,1,1
3063,18303,2395,Bainbridge High School,AllStudents,All Students,1352,169,169
3081,18400,1677,District Programs,AllStudents,All Students,211,0,0
3096,18400,1733,North Kitsap Online Academy & Parent Assisted Learning,AllStudents,All Students,47,6,6
3105,18400,3236,North Kitsap High School,AllStudents,All Students,1010,63,63
3124,18401,2615,Central Kitsap High School,AllStudents,All Students,1581,32,32
3143,18401,4100,Olympic High School,AllStudents,All Students,1131,50,50
3162,18401,4509,Klahowya Secondary,AllStudents,All Students,567,0,0
3177,18402,1718,Explorer Academy,AllStudents,All Students,189,9,8
3192,18402,2272,South Kitsap High School,AllStudents,All Students,2598,327,207
3212,18801,3481,Kitsap Co Detention Ctr,AllStudents,All Students,43,0,0
3221,18402,3899,Discovery,AllStudents,All Students,233,0,0
3235,19028,3554,Easton School,AllStudents,All Students,25,5,5
3242,19400,2514,Thorp Elem & Jr Sr High,AllStudents,All Students,49,0,0
3253,19401,2996,Ellensburg High School,AllStudents,All Students,992,79,79
3271,19403,2766,Kittitas High School,AllStudents,All Students,251,20,0
3286,19403,3213,Parke Creek Treatment Ctr,AllStudents,All Students,32,0,0
3295,19404,2329,Cle Elum Roslyn High School,AllStudents,All Students,248,5,5
3310,20094,2605,Wishram High And Elementary Schl,AllStudents,All Students,25,0,0
3316,20203,3392,Bickleton Elementary & High Schl,AllStudents,All Students,14,0,0
3319,20400,2676,Trout Lake School,AllStudents,All Students,77,5,5
3331,20401,3048,Glenwood Secondary,AllStudents,All Students,23,0,0
3338,20402,3494,Klickitat Elem & High,AllStudents,All Students,21,0,0
3345,20404,2856,Goldendale High School,AllStudents,All Students,336,0,0
3361,20405,2330,Columbia High School,AllStudents,All Students,353,0,0
3377,20406,3111,Lyle High School,AllStudents,All Students,81,0,0
3391,21014,2273,Napavine Jr Sr High School,AllStudents,All Students,263,0,0
3406,21206,3238,Mossyrock Jr./Sr. High School,AllStudents,All Students,182,0,0
3421,21214,3112,Morton Junior-Senior High,AllStudents,All Students,137,0,0
3436,21226,2441,Adna Middle/High School,AllStudents,All Students,234,0,0
3450,21232,1829,Winolequa Learning Academy,AllStudents,All Students,18,0,0
3456,21232,3597,Winlock Senior High,AllStudents,All Students,220,19,18
3472,21237,2616,Toledo High School,AllStudents,All Students,253,0,0
3487,21300,2331,Onalaska High School,AllStudents,All Students,273,0,0
3502,21301,2858,Pe Ell School,AllStudents,All Students,85,0,0
3515,21302,1559,Lewis County Juvenile Detention,AllStudents,All Students,49,0,0
3529,21302,2027,Green Hill Academic School,AllStudents,All Students,182,0,0
3543,21302,2799,W F West High School,AllStudents,All Students,1028,1,1
3560,21303,2859,White Pass Jr. Sr. High School,AllStudents,All Students,139,0,0
3574,21401,2166,Centralia High School,AllStudents,All Students,1032,113,113
3592,22008,2186,Sprague High School,AllStudents,All Students,38,4,4
3602,22009,2478,Reardan Middle-Senior High School,AllStudents,All Students,230,0,0
3616,22073,2863,Creston Jr-Sr High School,AllStudents,All Students,35,6,0
3626,22105,2443,Odessa High School,AllStudents,All Students,77,15,7
3638,22200,3289,Wilbur Secondary School,AllStudents,All Students,105,20,0
3653,22204,3113,Harrington High School,AllStudents,All Students,35,0,0
3663,22207,3173,Davenport Senior High School,AllStudents,All Students,187,6,6
3676,23309,1888,Mason County Detention Center,AllStudents,All Students,15,0,0
3681,23309,3241,Shelton High School,AllStudents,All Students,1597,21,0
3701,23309,4288,Choice Middle and High School,AllStudents,All Students,175,0,0
3717,23403,1680,James A. Taylor High School,AllStudents,All Students,68,0,0
3729,23403,1861,North Mason Homelink Program,AllStudents,All Students,48,0,0
3740,23403,3175,North Mason Senior High School,AllStudents,All Students,708,1,1
3757,24019,2031,Omak High School,AllStudents,All Students,475,0,0
3774,24019,4279,Highlands High School,AllStudents,All Students,26,0,0
3783,24105,2246,Okanogan High School,AllStudents,All Students,324,11,11
3800,24105,3193,Okanogan Co Juvenile Detention,AllStudents,All Students,25,0,0
3809,24111,2800,Brewster High School,AllStudents,All Students,299,27,0
3824,24122,2397,Pateros High School,AllStudents,All Students,107,9,9
3838,24350,1621,Methow Valley Independent Learning Center,AllStudents,All Students,43,0,0
3849,24350,2146,Liberty Bell Jr Sr High,AllStudents,All Students,188,0,0
3863,24404,2679,Tonasket High School,AllStudents,All Students,365,30,30
3879,24410,2706,Oroville Middle-High School,AllStudents,All Students,191,26,26
3894,25101,4220,Ilwaco High School,AllStudents,All Students,329,54,54
3910,25116,2357,Raymond Jr Sr High School,AllStudents,All Students,194,0,0
3926,25118,2214,South Bend High School,AllStudents,All Students,182,0,0
3942,25155,3295,Naselle-Grays River Valley Jr Sr High Schools,AllStudents,All Students,106,3,3
3956,25155,3599,Naselle Youth Camp School,AllStudents,All Students,155,0,0
3970,25160,2542,Willapa Valley Middle-High,AllStudents,All Students,119,0,0
3984,25200,2292,North River School,AllStudents,All Students,26,0,0
3992,26056,2518,Newport High School,AllStudents,All Students,362,24,24
4007,26059,2423,Cusick Jr Sr High School,AllStudents,All Students,81,0,0
4022,27001,4131,Steilacoom High,AllStudents,All Students,1037,28,28
4041,27003,1640,Puyallup Online Academy/POA,AllStudents,All Students,234,7,7
4057,27003,2125,Puyallup High School,AllStudents,All Students,1862,70,70
4076,27003,2575,Edgemont Jr High,AllStudents,All Students,120,29,29
4089,27003,3052,Kalles Junior High,AllStudents,All Students,322,32,32
4103,27003,3447,Aylen Jr High,AllStudents,All Students,242,29,29
4117,27003,3645,Gov John Rogers High School,AllStudents,All Students,1782,65,65
4136,27003,3750,Ballou Jr High,AllStudents,All Students,314,26,26
4152,27003,3972,E B Walker High School,AllStudents,All Students,151,10,10
4166,27003,4183,Ferrucci Jr High,AllStudents,All Students,235,32,32
4180,27003,4443,Doris Stahl Junior High,AllStudents,All Students,261,23,23
4195,27003,4540,Emerald Ridge High School,AllStudents,All Students,1486,96,96
4214,27010,1585,Comm Based Trans Program,AllStudents,All Students,67,0,0
4224,27010,1860,Tacoma School of the Arts,AllStudents,All Students,639,0,0
4243,27010,2039,Remann Hall Juvenile Detention Center,AllStudents,All Students,55,0,0
4256,27010,2084,Stadium High School,AllStudents,All Students,1595,141,141
4276,27010,2215,Lincoln High School,AllStudents,All Students,1771,172,52
4296,27010,3246,Dr. Dolores Silas High School,AllStudents,All Students,1244,26,26
4315,27010,3398,Mount Tahoma High School,AllStudents,All Students,1460,85,26
4335,27010,3880,Foss High School,AllStudents,All Students,662,62,12
4354,27010,4109,Oakland High School,AllStudents,All Students,192,37,37
4370,27010,4283,The School at Pearl Youth Residence,AllStudents,All Students,28,0,0
4379,27083,3179,Curtis Junior High,AllStudents,All Students,467,0,0
4394,27083,3600,Curtis Senior High,AllStudents,All Students,1443,58,58
4412,27320,3247,Sumner High School,AllStudents,All Students,1779,117,34
4431,27344,2942,Orting High School,AllStudents,All Students,721,20,20
4449,27400,1825,Alfaretta House,AllStudents,All Students,23,0,0
4455,27400,2041,Firwood,AllStudents,All Students,58,0,0
4469,27400,2425,Clover Park High School,AllStudents,All Students,1483,102,102
4490,27400,3456,Lakes High School,AllStudents,All Students,1322,172,172
4510,27401,1516,Henderson Bay Alt High School,AllStudents,All Students,78,0,0
4522,27401,2681,Peninsula High School,AllStudents,All Students,1562,64,64
4540,27401,4081,Gig Harbor High,AllStudents,All Students,1554,56,56
4558,27402,2876,Franklin Pierce High School,AllStudents,All Students,1263,29,29
4577,27402,3648,Washington High School,AllStudents,All Students,1052,60,60
4597,27402,4063,Gates Secondary School,AllStudents,All Students,151,0,0
4613,27403,1510,Challenger High School,AllStudents,All Students,308,36,36
4631,27403,2807,Bethel High School,AllStudents,All Students,1799,186,186
4651,27403,4158,Spanaway Lake High School,AllStudents,All Students,1638,100,100
4671,27404,2206,Eatonville High School,AllStudents,All Students,612,105,2
4686,27416,4569,White River High School,AllStudents,All Students,1250,44,44
4704,27417,2773,Fife High School,AllStudents,All Students,884,88,47
4722,28137,1892,OASIS K-12,AllStudents,All Students,80,1,1
4734,28137,2750,Orcas Island High School,AllStudents,All Students,133,6,6
4749,28144,2632,Lopez Middle High School,AllStudents,All Students,62,0,0
4762,28149,2879,Friday Harbor High School,AllStudents,All Students,250,56,23
4778,29011,1605,Twin Cedars High School,AllStudents,All Students,21,0,0
4786,29011,2810,Concrete High School,AllStudents,All Students,151,29,5
4800,29100,2362,Burlington Edison High School,AllStudents,All Students,1167,389,156
4817,29101,1537,State Street High School,AllStudents,All Students,238,0,0
4835,29101,2150,Sedro Woolley Senior High School,AllStudents,All Students,1286,84,84
4853,29103,2467,Anacortes High School,AllStudents,All Students,780,70,70
4871,29311,2276,La Conner High School,AllStudents,All Students,247,0,0
4888,29320,2295,Mount Vernon High School,AllStudents,All Students,2049,376,329
4908,29801,3363,Skagit County Detention Center,AllStudents,All Students,13,0,0
4913,29320,3829,Mount Vernon Special Ed,AllStudents,All Students,25,0,0
4922,30303,3119,Stevenson High School,AllStudents,All Students,298,0,0
4937,31002,2126,Everett High School,AllStudents,All Students,1573,30,30
4958,31002,3407,Cascade High School,AllStudents,All Students,1876,51,51
4977,31002,4137,Sequoia High School,AllStudents,All Students,202,0,0
4994,31002,4438,Henry M. Jackson High School,AllStudents,All Students,2293,135,135
5013,31004,2426,Lake Stevens Sr High School,AllStudents,All Students,2132,74,44
5031,31006,1848,Special Services,AllStudents,All Students,33,0,0
5038,31006,3688,Mariner High School,AllStudents,All Students,2551,265,186
5058,31006,4247,ACES High School,AllStudents,All Students,175,0,0
5074,31006,4433,Kamiak High School,AllStudents,All Students,2201,184,151
5092,31015,1519,Edmonds eLearning Academy,AllStudents,All Students,252,11,11
5109,31015,3123,Edmonds Woodway High School,AllStudents,All Students,1531,52,52
5128,31015,3303,Mountlake Terrace High School,AllStudents,All Students,1487,110,110
5148,31015,3464,Meadowdale High School,AllStudents,All Students,1550,58,58
5167,31015,3755,Lynnwood High School,AllStudents,All Students,1468,48,48
5187,31015,3854,Scriber Lake High School,AllStudents,All Students,249,0,0
5206,31016,1714,Stillaguamish Valley Learning Center,AllStudents,All Students,128,0,0
5220,31016,2523,Arlington High School,AllStudents,All Students,1678,218,218
5239,31016,4287,Weston High School,AllStudents,All Students,183,0,0
5254,31025,1657,Heritage School,AllStudents,All Students,118,0,0
5270,31103,1777,Sky Valley Education Center,AllStudents,All Students,295,8,8
5284,31103,1806,Leaders In Learning,AllStudents,All Students,57,0,0
5296,31103,1883,Youth Re-Engagement,AllStudents,All Students,316,0,0
5309,31103,4528,Monroe High School,AllStudents,All Students,1669,102,102
5328,31201,2428,Snohomish High School,AllStudents,All Students,1655,24,24
5346,31201,3981,High School Re Entry,AllStudents,All Students,13,0,0
5350,31201,4265,AIM High School,AllStudents,All Students,193,2,2
5365,31306,4204,Lakewood High School,AllStudents,All Students,832,62,0
5385,31311,4274,Sultan Senior High School,AllStudents,All Students,587,61,61
5404,31330,3188,Darrington High School,AllStudents,All Students,126,9,0
5418,31332,2580,Granite Falls High School,AllStudents,All Students,528,49,49
5434,31401,1707,Lincoln Hill High School,AllStudents,All Students,214,0,0
